lat,lon
50.694643,-2.706058
50.690656,-2.703302
50.690608,-2.703316
50.690563,-2.703304
50.690518,-2.703298
50.690469,-2.703313
50.690401,-2.703335
50.690335,-2.703329
50.690280,-2.703295
50.690232,-2.703277
50.690196,-2.703231
50.690151,-2.703239
50.690115,-2.703190
50.690110,-2.703100
50.690088,-2.703023
50.690088,-2.702925
50.690086,-2.702852
50.690070,-2.702776
50.690033,-2.702702
50.690003,-2.702631
50.689971,-2.702567
50.689963,-2.702494
50.689933,-2.702441
50.689910,-2.702371
50.689887,-2.702298
50.689878,-2.702228
50.689847,-2.702173
50.689882,-2.702116
50.689848,-2.702054
50.689816,-2.702002
50.689790,-2.701912
50.689764,-2.701837
50.689742,-2.701766
50.689707,-2.701716
50.689662,-2.701655
50.689609,-2.701606
50.689561,-2.701546
50.689614,-2.701558
50.689662,-2.701544
50.689695,-2.701489
50.689704,-2.701400
50.689719,-2.701330
50.689766,-2.701298
50.689742,-2.701361
50.689729,-2.701459
50.689702,-2.701522
50.689665,-2.701566
50.689617,-2.701502
50.689588,-2.701442
50.689561,-2.701365
50.689528,-2.701298
50.689522,-2.701215
50.689526,-2.701132
50.689525,-2.701043
50.689542,-2.700962
50.689540,-2.700880
50.689560,-2.700957
50.689525,-2.701020
50.689508,-2.701097
50.689499,-2.701190
50.689493,-2.701273
50.689507,-2.701360
50.689522,-2.701435
50.689529,-2.701506
50.689546,-2.701586
50.689588,-2.701659
50.689628,-2.701708
50.689672,-2.701776
50.689724,-2.701872
50.689747,-2.701952
50.689750,-2.702023
50.689762,-2.702123
50.689792,-2.702196
50.689832,-2.702248
50.689864,-2.702309
50.689910,-2.702372
50.689941,-2.702426
50.689980,-2.702499
50.689996,-2.702567
50.689995,-2.702654
50.689990,-2.702729
50.689990,-2.702819
50.689994,-2.702899
50.690004,-2.702974
50.690007,-2.703048
50.690021,-2.703124
50.690048,-2.703184
50.690094,-2.703241
50.690143,-2.703294
50.690168,-2.703230
50.690218,-2.703287
50.690272,-2.703282
50.690322,-2.703258
50.690376,-2.703234
50.690427,-2.703226
50.690474,-2.703205
50.690535,-2.703157
50.690588,-2.703139
50.690643,-2.703118
50.690696,-2.703077
50.690727,-2.703009
50.690744,-2.702907
50.690736,-2.702826
50.690734,-2.702750
50.690732,-2.702670
50.690730,-2.702552
50.690700,-2.702445
50.690675,-2.702345
50.690652,-2.702266
50.690630,-2.702202
50.690600,-2.702130
50.690575,-2.702056
50.690541,-2.701963
50.690508,-2.701878
50.690482,-2.701815
50.690458,-2.701748
50.690427,-2.701675
50.690391,-2.701597
50.690367,-2.701531
50.690340,-2.701458
50.690316,-2.701397
50.690293,-2.701329
50.690272,-2.701266
50.690241,-2.701200
50.690210,-2.701107
50.690182,-2.701023
50.690158,-2.700961
50.690134,-2.700890
50.690106,-2.700830
50.690070,-2.700755
50.690032,-2.700664
50.690017,-2.700576
50.690016,-2.700479
50.690004,-2.700387
50.689985,-2.700283
50.689972,-2.700190
50.689962,-2.700107
50.689958,-2.700011
50.689952,-2.699912
50.689939,-2.699831
50.689930,-2.699746
50.689916,-2.699661
50.689912,-2.699556
50.689913,-2.699466
50.689887,-2.699380
50.689871,-2.699303
50.689868,-2.699224
50.689862,-2.699152
50.689850,-2.699058
50.689847,-2.698971
50.689826,-2.698897
50.689795,-2.698840
50.689767,-2.698783
50.689753,-2.698697
50.689720,-2.698608
50.689679,-2.698528
50.689659,-2.698444
50.689637,-2.698339
50.689614,-2.698247
50.689585,-2.698172
50.689565,-2.698075
50.689550,-2.698004
50.689537,-2.697928
50.689519,-2.697835
50.689499,-2.697754
50.689494,-2.697679
50.689481,-2.697592
50.689465,-2.697516
50.689459,-2.697439
50.689452,-2.697354
50.689438,-2.697258
50.689420,-2.697173
50.689404,-2.697078
50.689379,-2.696990
50.689362,-2.696916
50.689341,-2.696826
50.689316,-2.696729
50.689299,-2.696649
50.689282,-2.696541
50.689259,-2.696445
50.689228,-2.696370
50.689190,-2.696295
50.689157,-2.696243
50.689130,-2.696186
50.689090,-2.696122
50.689056,-2.696050
50.689013,-2.695964
50.688980,-2.695910
50.688954,-2.695840
50.688927,-2.695773
50.688900,-2.695704
50.688863,-2.695646
50.688817,-2.695651
50.688767,-2.695645
50.688718,-2.695654
50.688686,-2.695591
50.688653,-2.695506
50.688626,-2.695447
50.688597,-2.695392
50.688553,-2.695329
50.688523,-2.695267
50.688485,-2.695189
50.688453,-2.695136
50.688409,-2.695076
50.688375,-2.695019
50.688344,-2.694967
50.688297,-2.694900
50.688258,-2.694845
