lat,lon
50.2668314,-3.6522175
50.2668361,-3.6522419
50.2667536,-3.6523179
50.2667684,-3.6524070
50.2668014,-3.6524139
50.2668470,-3.6523873
50.2668800,-3.6523495
50.2668382,-3.6523126
50.2668556,-3.6523055
50.2666923,-3.6523321
50.2665700,-3.6523167
50.2664387,-3.6523856
50.2663665,-3.6524588
50.2663290,-3.6526376
50.2662642,-3.6526616
50.2661982,-3.6527589
50.2661293,-3.6527576
50.2660605,-3.6528018
50.2660450,-3.6527824
50.2660470,-3.6528212
50.2659988,-3.6528836
50.2660174,-3.6528733
50.2659897,-3.6528588
50.2659782,-3.6527967
50.2659396,-3.6528498
50.2659343,-3.6528115
50.2659072,-3.6528852
50.2658979,-3.6529611
50.2658131,-3.6529926
50.2658016,-3.6529740
50.2658283,-3.6528826
50.2658554,-3.6528562
50.2658675,-3.6527938
50.2658362,-3.6526850
50.2658502,-3.6526279
50.2658976,-3.6525934
50.2660321,-3.6526430
50.2659394,-3.6526353
50.2659334,-3.6526267
50.2659497,-3.6526085
50.2659775,-3.6526038
50.2659321,-3.6526048
50.2659470,-3.6526113
50.2658657,-3.6525102
50.2658450,-3.6524250
50.2658617,-3.6524001
50.2658550,-3.6523637
50.2658735,-3.6522984
50.2658648,-3.6521622
50.2660211,-3.6520516
50.2659486,-3.6520844
50.2659499,-3.6520997
50.2659093,-3.6518777
50.2658795,-3.6520397
50.2658898,-3.6521000
50.2658786,-3.6521242
50.2658952,-3.6521713
50.2659016,-3.6522960
50.2658041,-3.6525857
50.2657674,-3.6528398
50.2657263,-3.6529635
50.2657262,-3.6531195
50.2656769,-3.6532720
50.2656654,-3.6534131
50.2656515,-3.6534338
50.2655982,-3.6534272
50.2655684,-3.6533686
50.2655257,-3.6533627
50.2655153,-3.6534905
50.2654583,-3.6536557
50.2654273,-3.6536447
50.2653645,-3.6536694
50.2653266,-3.6536546
50.2652309,-3.6535570
50.2651376,-3.6535116
50.2650041,-3.6535382
50.2647677,-3.6534759
