lat,lon
50.6113591,-2.1295742
50.6113463,-2.1295927
50.6113142,-2.1295641
50.6113283,-2.1296341
50.6113496,-2.1296573
50.6111811,-2.1295949
50.6111258,-2.1298752
50.6111002,-2.1298978
50.6110653,-2.1298844
50.6110603,-2.1298244
50.6110185,-2.1297652
50.6108943,-2.1296596
50.6108121,-2.1295595
50.6106759,-2.1295247
50.6106204,-2.1294886
50.6104648,-2.1292954
50.6104033,-2.1292387
50.6103103,-2.1291982
50.6101499,-2.1290530
50.6100619,-2.1289040
50.6098978,-2.1287616
50.6097685,-2.1287205
50.6096955,-2.1286541
50.6096041,-2.1285328
50.6093833,-2.1284532
50.6091822,-2.1284685
50.6090750,-2.1284401
50.6088643,-2.1283082
50.6087427,-2.1281755
50.6087137,-2.1280234
50.6087498,-2.1280248
50.6087769,-2.1279781
50.6087661,-2.1279758
50.6087545,-2.1279811
50.6089386,-2.1279999
50.6089574,-2.1279393
50.6089421,-2.1279131
50.6088493,-2.1279593
50.6088327,-2.1279739
50.6088383,-2.1280019
50.6088208,-2.1279450
50.6088033,-2.1279377
50.6087751,-2.1278726
50.6087992,-2.1279509
50.6087764,-2.1279212
50.6087509,-2.1279372
50.6087565,-2.1281230
50.6087290,-2.1282111
50.6086684,-2.1282689
50.6086404,-2.1283881
50.6085572,-2.1284873
50.6085598,-2.1285947
50.6085743,-2.1286671
50.6086272,-2.1288235
50.6086411,-2.1289362
50.6086963,-2.1290923
50.6087367,-2.1292839
50.6087592,-2.1295481
50.6087473,-2.1297101
50.6086823,-2.1299094
50.6086380,-2.1301207
50.6086438,-2.1301508
50.6086837,-2.1301556
50.6087055,-2.1302018
50.6087442,-2.1304310
50.6087556,-2.1304360
50.6086297,-2.1306471
50.6086062,-2.1306420
50.6085770,-2.1306629
50.6085664,-2.1306813
50.6085689,-2.1307526
50.6085687,-2.1306962
50.6086147,-2.1307372
50.6086112,-2.1307493
50.6085989,-2.1307094
50.6085777,-2.1307023
50.6085610,-2.1306680
50.6085402,-2.1306780
50.6085891,-2.1306550
50.6086003,-2.1307058
50.6085852,-2.1306865
50.6086125,-2.1307291
50.6086408,-2.1307306
50.6086604,-2.1306827
50.6086896,-2.1307676
50.6086954,-2.1306685
50.6087157,-2.1306412
50.6086703,-2.1306341
50.6086973,-2.1306588
50.6086595,-2.1306862
50.6086507,-2.1307552
50.6085910,-2.1307174
50.6085580,-2.1307174
50.6085788,-2.1306272
50.6086583,-2.1304874
50.6086743,-2.1303915
50.6086460,-2.1302880
50.6086334,-2.1301526
50.6086123,-2.1301072
