lat,lon
50.3471117,-3.5668236
50.3470504,-3.5666416
50.3469879,-3.5665483
50.3469676,-3.5664364
50.3469225,-3.5663402
50.3469858,-3.5659263
50.3469571,-3.5658638
50.3469199,-3.5658857
50.3469189,-3.5658565
50.3468349,-3.5657033
50.3467566,-3.5656290
50.3466741,-3.5654684
50.3465741,-3.5653466
50.3465242,-3.5651659
50.3465087,-3.5650367
50.3464509,-3.5649317
50.3464295,-3.5649213
50.3463721,-3.5650290
50.3463253,-3.5650213
50.3462931,-3.5648588
50.3462919,-3.5647479
50.3462708,-3.5646347
50.3462210,-3.5645640
50.3462461,-3.5645372
50.3462189,-3.5645021
50.3461156,-3.5644878
50.3460584,-3.5645038
50.3460828,-3.5645555
50.3461832,-3.5645291
50.3462329,-3.5645390
50.3461985,-3.5645240
50.3463515,-3.5644922
50.3465067,-3.5644306
50.3465839,-3.5643071
50.3466436,-3.5641413
50.3466967,-3.5639169
50.3467175,-3.5637315
50.3465856,-3.5630462
50.3464621,-3.5621949
50.3463658,-3.5613961
50.3462927,-3.5606507
50.3462657,-3.5599346
50.3463184,-3.5585511
50.3464949,-3.5641911
50.3463109,-3.5639178
50.3462242,-3.5638736
50.3461850,-3.5638135
50.3461565,-3.5637199
50.3461687,-3.5635613
50.3461295,-3.5635022
50.3460796,-3.5632019
50.3460874,-3.5630683
50.3460740,-3.5630437
50.3459943,-3.5630995
50.3459439,-3.5630901
50.3458969,-3.5630480
50.3459226,-3.5629478
50.3459120,-3.5628692
50.3459271,-3.5629044
50.3459386,-3.5630007
50.3459236,-3.5630512
50.3458885,-3.5631028
50.3458385,-3.5631054
50.3458141,-3.5630518
50.3457346,-3.5629743
50.3456596,-3.5628737
50.3455687,-3.5629120
50.3454690,-3.5628645
50.3452849,-3.5628732
50.3452338,-3.5628358
50.3451138,-3.5628129
50.3449356,-3.5627484
50.3448796,-3.5627723
50.3448324,-3.5627692
50.3447822,-3.5627309
50.3447420,-3.5626756
50.3446265,-3.5626012
