lat,lon
50.6597423,-2.5994158
50.6596877,-2.5994412
50.6597071,-2.5994144
50.6597288,-2.5994513
50.6597375,-2.5995780
50.6597195,-2.5996691
50.6596895,-2.5997262
50.6595957,-2.5998086
50.6595727,-2.5998477
50.6594906,-2.6002500
50.6594596,-2.6003215
50.6594096,-2.6003695
50.6594046,-2.6004093
50.6593340,-2.6001769
50.6589106,-2.6000833
50.6595264,-2.6009582
50.6596240,-2.6010573
50.6596379,-2.6010577
50.6596598,-2.6010245
50.6596670,-2.6009622
50.6596367,-2.6008965
50.6595726,-2.6008134
50.6595490,-2.6006933
50.6595991,-2.6005623
50.6596181,-2.6003198
50.6594193,-2.6000471
50.6594627,-2.6002780
50.6594919,-2.6003207
50.6594803,-2.6002865
50.6594609,-2.6004602
50.6589321,-2.5997541
50.6594808,-2.6004857
50.6594563,-2.6004005
50.6594556,-2.6003834
50.6594837,-2.6003776
50.6594747,-2.6003866
50.6594546,-2.6003451
50.6594646,-2.6002513
50.6594540,-2.6001522
50.6594972,-2.6000198
50.6595260,-2.5996714
50.6595720,-2.5995129
50.6595890,-2.5993857
50.6596255,-2.5993292
50.6596363,-2.5992871
50.6596990,-2.5988711
50.6596893,-2.5988903
50.6597043,-2.5989006
50.6597386,-2.5988365
50.6598013,-2.5988024
50.6598732,-2.5987155
50.6598920,-2.5986322
50.6598417,-2.5984229
50.6598290,-2.5982841
50.6597891,-2.5981935
50.6597811,-2.5980812
50.6597449,-2.5980078
50.6597347,-2.5979223
50.6597652,-2.5978462
50.6597748,-2.5977844
50.6597500,-2.5974980
50.6597599,-2.5973060
50.6597557,-2.5969951
50.6597849,-2.5967842
50.6597827,-2.5966345
50.6598013,-2.5965470
50.6597727,-2.5964227
50.6597852,-2.5961745
50.6598825,-2.5956862
50.6599567,-2.5955367
50.6599606,-2.5954270
50.6599308,-2.5953683
50.6599262,-2.5953037
50.6599307,-2.5952591
50.6599654,-2.5951947
50.6599811,-2.5951214
50.6599467,-2.5949758
50.6599001,-2.5949606
50.6598911,-2.5948791
50.6598595,-2.5948001
50.6597318,-2.5946151
50.6596968,-2.5945968
50.6596332,-2.5944901
50.6595823,-2.5944790
50.6595933,-2.5944707
50.6594373,-2.5943412
50.6593317,-2.5942123
50.6592728,-2.5940765
50.6592383,-2.5940347
50.6592027,-2.5937926
