date,time,lat,lon,ele
2021-09-03,12:20:27.000,50.5682467,-2.4478616,-10
2021-09-03,12:20:32.000,50.5681486,-2.4478067,-10
2021-09-03,12:20:37.000,50.5681159,-2.4477715,-10
2021-09-03,12:20:42.000,50.5680847,-2.4477579,-11
2021-09-03,12:23:25.000,50.5680279,-2.4477956,-8
2021-09-03,12:23:30.000,50.5680026,-2.4477540,-8
2021-09-03,12:23:35.000,50.5679968,-2.4476799,-8
2021-09-03,12:23:40.000,50.5679895,-2.4476230,-8
2021-09-03,12:23:45.000,50.5679636,-2.4476034,-8
2021-09-03,12:23:50.000,50.5679212,-2.4475937,-8
2021-09-03,12:23:55.000,50.5678735,-2.4475868,-8
2021-09-03,12:24:00.000,50.5678199,-2.4475725,-9
2021-09-03,12:24:05.000,50.5677675,-2.4475293,-9
2021-09-03,12:24:10.000,50.5677309,-2.4474551,-9
2021-09-03,12:24:15.000,50.5677083,-2.4473704,-9
2021-09-03,12:24:20.000,50.5676775,-2.4472883,-9
2021-09-03,12:24:25.000,50.5676462,-2.4472149,-9
2021-09-03,12:24:42.000,50.5676312,-2.4471687,-9
2021-09-03,12:24:47.000,50.5676168,-2.4471051,-9
2021-09-03,12:24:52.000,50.5675882,-2.4470213,-9
2021-09-03,12:24:57.000,50.5675600,-2.4469346,-8
2021-09-03,12:25:02.000,50.5675302,-2.4468447,-8
2021-09-03,12:25:07.000,50.5675018,-2.4467663,-8
2021-09-03,12:25:12.000,50.5674718,-2.4466783,-8
2021-09-03,12:25:17.000,50.5674415,-2.4465917,-8
2021-09-03,12:25:22.000,50.5674133,-2.4465013,-7
2021-09-03,12:25:27.000,50.5673912,-2.4464070,-7
2021-09-03,12:25:32.000,50.5673666,-2.4463167,-6
2021-09-03,12:25:37.000,50.5673443,-2.4462330,-5
2021-09-03,12:25:42.000,50.5673240,-2.4461524,-4
2021-09-03,12:25:47.000,50.5673110,-2.4460797,-3
2021-09-03,12:25:52.000,50.5673189,-2.4460136,-1
2021-09-03,12:25:57.000,50.5673605,-2.4459678,-2
2021-09-03,12:26:02.000,50.5674098,-2.4459430,-3
2021-09-03,12:26:07.000,50.5674697,-2.4459167,-3
2021-09-03,12:26:12.000,50.5675272,-2.4458743,-3
2021-09-03,12:26:17.000,50.5675801,-2.4458187,-3
2021-09-03,12:26:22.000,50.5676315,-2.4457783,-4
2021-09-03,12:26:27.000,50.5676849,-2.4457423,-4
2021-09-03,12:26:32.000,50.5677302,-2.4456996,-3
2021-09-03,12:26:37.000,50.5677193,-2.4456172,-3
2021-09-03,12:26:42.000,50.5677017,-2.4455133,-4
2021-09-03,12:26:47.000,50.5676929,-2.4453996,-3
2021-09-03,12:26:52.000,50.5676751,-2.4453139,-3
2021-09-03,12:26:57.000,50.5676795,-2.4452254,-3
2021-09-03,12:27:02.000,50.5677004,-2.4451395,-3
2021-09-03,12:27:07.000,50.5677192,-2.4450442,-2
2021-09-03,12:27:12.000,50.5677209,-2.4449458,-2
2021-09-03,12:27:17.000,50.5676723,-2.4448745,-2
2021-09-03,12:27:22.000,50.5676083,-2.4448285,-2
