date,time,lat,lon,ele
2021-09-18,11:05:05.000,50.5503282,-2.4202166,92
2021-09-18,11:05:10.000,50.5502053,-2.4201847,92
2021-09-18,11:05:15.000,50.5501347,-2.4201450,92
2021-09-18,11:05:20.000,50.5501087,-2.4201380,92
2021-09-18,11:05:35.000,50.5501038,-2.4201553,92
2021-09-18,11:05:40.000,50.5500630,-2.4201619,92
2021-09-18,11:05:45.000,50.5500341,-2.4201674,92
2021-09-18,11:05:50.000,50.5500220,-2.4201704,92
2021-09-18,11:05:55.000,50.5500543,-2.4201970,92
2021-09-18,11:06:00.000,50.5501110,-2.4202321,92
2021-09-18,11:06:05.000,50.5501624,-2.4202648,92
2021-09-18,11:06:10.000,50.5502192,-2.4202906,91
2021-09-18,11:06:15.000,50.5502729,-2.4202949,91
2021-09-18,11:06:20.000,50.5503136,-2.4203083,91
2021-09-18,11:06:25.000,50.5503515,-2.4203343,90
2021-09-18,11:06:30.000,50.5503850,-2.4203737,89
2021-09-18,11:06:40.000,50.5504167,-2.4203928,88
2021-09-18,11:06:45.000,50.5504441,-2.4203852,88
2021-09-18,11:06:50.000,50.5504441,-2.4203779,87
2021-09-18,11:06:55.000,50.5504557,-2.4203728,86
2021-09-18,11:07:00.000,50.5504888,-2.4203779,86
2021-09-18,11:07:05.000,50.5505230,-2.4204117,85
2021-09-18,11:07:10.000,50.5505797,-2.4204656,85
2021-09-18,11:07:15.000,50.5506326,-2.4205038,84
2021-09-18,11:07:20.000,50.5506797,-2.4205236,84
2021-09-18,11:07:25.000,50.5507062,-2.4205303,83
2021-09-18,11:07:30.000,50.5507323,-2.4205359,82
2021-09-18,11:07:35.000,50.5507654,-2.4205261,81
2021-09-18,11:07:40.000,50.5508144,-2.4205234,81
2021-09-18,11:07:45.000,50.5508569,-2.4205413,81
2021-09-18,11:07:50.000,50.5508872,-2.4205183,81
2021-09-18,11:08:08.000,50.5509277,-2.4204930,81
2021-09-18,11:08:27.000,50.5509409,-2.4205283,80
2021-09-18,11:08:32.000,50.5509658,-2.4205326,79
2021-09-18,11:08:37.000,50.5509937,-2.4205175,79
2021-09-18,11:08:42.000,50.5510398,-2.4204987,78
2021-09-18,11:08:47.000,50.5510785,-2.4204981,78
2021-09-18,11:08:52.000,50.5511061,-2.4204645,78
2021-09-18,11:09:03.000,50.5511556,-2.4204455,76
2021-09-18,11:09:08.000,50.5511830,-2.4204796,76
2021-09-18,11:09:13.000,50.5512126,-2.4205316,75
2021-09-18,11:09:18.000,50.5512434,-2.4205532,74
2021-09-18,11:09:23.000,50.5512685,-2.4205713,73
2021-09-18,11:09:28.000,50.5513028,-2.4205984,72
2021-09-18,11:09:33.000,50.5513325,-2.4206537,70
2021-09-18,11:09:38.000,50.5513899,-2.4207292,69
2021-09-18,11:09:43.000,50.5514618,-2.4207953,69
2021-09-18,11:09:48.000,50.5515063,-2.4208249,68
2021-09-18,11:09:53.000,50.5515630,-2.4208420,66
2021-09-18,11:09:58.000,50.5516140,-2.4208711,65
2021-09-18,11:10:03.000,50.5516587,-2.4208961,64
2021-09-18,11:10:08.000,50.5517053,-2.4209308,63
2021-09-18,11:10:13.000,50.5517443,-2.4209560,62
2021-09-18,11:10:18.000,50.5517768,-2.4209759,61
2021-09-18,11:10:23.000,50.5518088,-2.4209499,60
2021-09-18,11:10:28.000,50.5518108,-2.4208927,59
2021-09-18,11:10:33.000,50.5517801,-2.4208488,58
2021-09-18,11:10:38.000,50.5517493,-2.4208063,57
2021-09-18,11:10:43.000,50.5517154,-2.4207749,56
2021-09-18,11:10:48.000,50.5516878,-2.4207390,55
2021-09-18,11:11:06.000,50.5516591,-2.4206874,53
2021-09-18,11:11:11.000,50.5516416,-2.4206448,52
2021-09-18,11:11:16.000,50.5516245,-2.4206043,51
2021-09-18,11:11:21.000,50.5515933,-2.4205702,51
2021-09-18,11:11:26.000,50.5515707,-2.4205385,50
2021-09-18,11:11:31.000,50.5515462,-2.4205122,49
2021-09-18,11:11:36.000,50.5515217,-2.4204838,48
2021-09-18,11:11:41.000,50.5515062,-2.4204396,47
2021-09-18,11:11:46.000,50.5514942,-2.4204082,46
2021-09-18,11:11:51.000,50.5514681,-2.4203677,45
2021-09-18,11:11:56.000,50.5514470,-2.4203142,45
2021-09-18,11:12:01.000,50.5514226,-2.4202498,44
2021-09-18,11:12:06.000,50.5513969,-2.4201895,43
