lat,lon
50.6968984,-2.7215872
50.6969468,-2.7214197
50.6969593,-2.7214099
50.6969936,-2.7214287
50.6969607,-2.7214462
50.6968906,-2.7213819
50.6968390,-2.7213651
50.6967743,-2.7212989
50.6967363,-2.7213268
50.6967463,-2.7213186
50.6966886,-2.7213133
50.6966724,-2.7213517
50.6966270,-2.7213692
50.6964682,-2.7213707
50.6963780,-2.7213391
50.6963113,-2.7213477
50.6962712,-2.7213225
50.6961536,-2.7211244
50.6961233,-2.7209793
50.6961085,-2.7207927
50.6960806,-2.7207260
50.6960751,-2.7204874
50.6960471,-2.7203400
50.6960364,-2.7200845
50.6959772,-2.7195824
50.6958345,-2.7190961
50.6958370,-2.7191080
50.6958447,-2.7190743
50.6958363,-2.7190162
50.6957794,-2.7188163
50.6957034,-2.7186538
50.6955905,-2.7185392
50.6955495,-2.7184752
50.6954757,-2.7183155
50.6954626,-2.7182323
50.6954120,-2.7181069
50.6953281,-2.7179962
50.6951220,-2.7174899
50.6950661,-2.7172978
50.6949966,-2.7171521
50.6949674,-2.7170187
50.6948679,-2.7167882
50.6948273,-2.7166427
50.6948564,-2.7166731
50.6948600,-2.7166968
50.6947699,-2.7165561
50.6947310,-2.7164355
50.6946603,-2.7163243
50.6945458,-2.7162216
50.6944521,-2.7161767
50.6943766,-2.7160008
50.6943101,-2.7158832
50.6942747,-2.7157901
50.6942222,-2.7155683
50.6942173,-2.7154981
50.6942324,-2.7154803
50.6942261,-2.7154137
50.6941958,-2.7153515
50.6940958,-2.7152304
50.6940436,-2.7151299
50.6940153,-2.7150095
50.6939697,-2.7149123
50.6938784,-2.7146312
50.6938415,-2.7145631
50.6938111,-2.7144677
50.6937282,-2.7141332
50.6936351,-2.7139419
50.6935965,-2.7138141
50.6935248,-2.7136647
50.6934874,-2.7134266
50.6934450,-2.7133627
50.6934081,-2.7132445
50.6933310,-2.7130953
50.6933140,-2.7130281
50.6933099,-2.7129472
50.6932033,-2.7127352
50.6929847,-2.7124200
50.6929173,-2.7123009
50.6928289,-2.7120476
50.6928302,-2.7120250
50.6927955,-2.7119938
50.6927486,-2.7119143
50.6927047,-2.7117283
50.6926522,-2.7115787
50.6925885,-2.7112641
50.6925458,-2.7111492
50.6925216,-2.7110260
50.6924287,-2.7108005
50.6923887,-2.7106624
50.6923347,-2.7105565
50.6922774,-2.7103587
50.6919663,-2.7098390
50.6919672,-2.7097186
50.6919298,-2.7095236
50.6919349,-2.7094641
50.6918565,-2.7089280
50.6918353,-2.7088461
50.6918319,-2.7087924
50.6918584,-2.7087079
50.6917704,-2.7084139
50.6917210,-2.7080690
50.6916742,-2.7079350
50.6916260,-2.7077154
50.6915176,-2.7074164
50.6914596,-2.7071666
50.6914333,-2.7071041
50.6913529,-2.7069726
50.6912865,-2.7069184
50.6912382,-2.7068198
50.6910889,-2.7061308
50.6910082,-2.7058932
50.6909385,-2.7056020
50.6909562,-2.7054533
50.6909447,-2.7053786
50.6908820,-2.7051828
50.6907429,-2.7048379
50.6906085,-2.7043444
50.6905603,-2.7042588
50.6905371,-2.7041442
50.6904716,-2.7039701
50.6904391,-2.7039395
50.6903070,-2.7036513
50.6902516,-2.7034578
50.6902564,-2.7034064
50.6902430,-2.7033481
50.6901829,-2.7032150
50.6901819,-2.7031223
50.6901703,-2.7030789
50.6900597,-2.7028634
50.6898942,-2.7023906
50.6898460,-2.7022962
50.6897977,-2.7021228
50.6897404,-2.7020440
50.6897428,-2.7018790
50.6897224,-2.7017910
50.6896699,-2.7017003
50.6896393,-2.7016890
50.6895631,-2.7015901
50.6895870,-2.7016008
50.6896207,-2.7015734
50.6896900,-2.7016140
50.6897042,-2.7016435
50.6897387,-2.7018286
50.6898052,-2.7019932
50.6898793,-2.7022480
50.6899572,-2.7024171
50.6899903,-2.7025984
50.6901310,-2.7030253
50.6902416,-2.7032633
50.6902498,-2.7033181
50.6902212,-2.7034204
50.6902310,-2.7034880
50.6902656,-2.7035721
50.6903271,-2.7036594
50.6904126,-2.7038548
50.6905404,-2.7042940
50.6906160,-2.7044868
50.6907162,-2.7048429
50.6907996,-2.7049929
50.6910101,-2.7056035
50.6911435,-2.7061932
50.6911876,-2.7066739
50.6912836,-2.7068871
50.6913928,-2.7069974
50.6914295,-2.7070667
50.6914694,-2.7071803
50.6915567,-2.7075481
50.6916202,-2.7077606
50.6916852,-2.7079191
50.6917012,-2.7080262
50.6917056,-2.7081796
50.6917745,-2.7085113
50.6918127,-2.7086283
50.6918201,-2.7086314
50.6918157,-2.7086099
50.6918212,-2.7086274
50.6918344,-2.7088180
50.6919042,-2.7092056
50.6919397,-2.7095099
50.6919468,-2.7096660
50.6920270,-2.7098671
50.6920936,-2.7099949
50.6921666,-2.7100794
50.6922645,-2.7103105
50.6923017,-2.7104359
50.6923659,-2.7105458
50.6923976,-2.7106559
50.6924059,-2.7107471
50.6924832,-2.7109773
50.6925905,-2.7109497
50.6925922,-2.7109772
50.6926086,-2.7109839
50.6926034,-2.7110361
50.6925575,-2.7111531
50.6925486,-2.7112288
50.6924714,-2.7113766
50.6925604,-2.7114464
50.6925806,-2.7114812
50.6926548,-2.7116473
50.6927073,-2.7118141
50.6927618,-2.7119266
50.6928316,-2.7121505
50.6929324,-2.7123365
50.6931735,-2.7126671
50.6933028,-2.7129191
50.6933477,-2.7130696
50.6933980,-2.7131793
50.6934671,-2.7132578
50.6935341,-2.7134326
50.6935580,-2.7135525
50.6935694,-2.7136293
50.6935552,-2.7136813
50.6935619,-2.7137378
50.6936179,-2.7138887
50.6936433,-2.7139272
50.6936626,-2.7140233
50.6936976,-2.7140824
50.6937102,-2.7142152
50.6937395,-2.7142893
50.6937386,-2.7143247
50.6938310,-2.7145019
50.6939372,-2.7148482
50.6939732,-2.7149064
50.6939988,-2.7150209
50.6941395,-2.7152734
50.6942240,-2.7155680
50.6942567,-2.7156341
50.6943699,-2.7159717
50.6944304,-2.7160665
50.6944897,-2.7160775
50.6944847,-2.7160917
50.6945634,-2.7162206
50.6946900,-2.7164854
50.6947504,-2.7165762
50.6948704,-2.7168240
50.6949226,-2.7170145
50.6949694,-2.7170967
50.6950688,-2.7173328
50.6951136,-2.7174956
50.6950989,-2.7175157
50.6950976,-2.7176103
50.6952223,-2.7178558
50.6952552,-2.7179513
50.6952662,-2.7179878
50.6952576,-2.7181170
50.6952717,-2.7182236
50.6953168,-2.7183262
50.6953040,-2.7184211
50.6953111,-2.7184405
50.6953093,-2.7184099
50.6953212,-2.7184212
50.6953312,-2.7184657
50.6953005,-2.7185264
50.6952398,-2.7185696
50.6953479,-2.7184231
50.6953801,-2.7182997
50.6953632,-2.7182591
50.6953733,-2.7182901
50.6953348,-2.7183416
50.6953637,-2.7183219
50.6954161,-2.7183187
50.6954964,-2.7183683
50.6955531,-2.7185096
50.6957390,-2.7187754
50.6957805,-2.7188876
50.6958043,-2.7190030
50.6958330,-2.7190800
50.6958508,-2.7190916
50.6958364,-2.7190559
50.6958423,-2.7191358
50.6959403,-2.7188403
50.6959974,-2.7186036
50.6960199,-2.7183542
50.6960688,-2.7180858
50.6960597,-2.7180449
50.6960299,-2.7182148
50.6959897,-2.7190477
50.6959521,-2.7193403
50.6960015,-2.7196126
50.6960236,-2.7198117
50.6961032,-2.7207759
50.6961349,-2.7209781
50.6961814,-2.7211186
50.6962606,-2.7212363
50.6962969,-2.7213519
50.6963841,-2.7215103
50.6964916,-2.7217833
50.6966527,-2.7220470
50.6966645,-2.7221075
50.6966252,-2.7222066
50.6966295,-2.7221923
50.6966771,-2.7221895
50.6967946,-2.7221053
50.6968471,-2.7220305
50.6968819,-2.7219348
50.6969548,-2.7218588
50.6969772,-2.7217897
50.6970562,-2.7217581
50.6971333,-2.7218594
50.6971930,-2.7220928
50.6972760,-2.7221592
50.6973367,-2.7223521
50.6973966,-2.7224475
50.6974484,-2.7224673
50.6976125,-2.7225893
50.6977184,-2.7226466
50.6977970,-2.7226577
50.6979195,-2.7227140
50.6980514,-2.7229018
50.6980379,-2.7229299
50.6980392,-2.7229746
50.6981000,-2.7232545
50.6982182,-2.7234310
50.6983685,-2.7237242
50.6983813,-2.7237956
50.6983590,-2.7238344
50.6983668,-2.7239840
50.6984448,-2.7240764
50.6985111,-2.7241223
50.6985776,-2.7242324
50.6985706,-2.7243433
50.6985260,-2.7246036
50.6984343,-2.7250392
50.6983956,-2.7251740
50.6983025,-2.7257501
50.6982964,-2.7257324
50.6983020,-2.7257145
50.6982564,-2.7261047
50.6981980,-2.7263739
50.6981916,-2.7265314
50.6981404,-2.7268002
50.6981216,-2.7269541
50.6981188,-2.7270328
50.6981255,-2.7270261
50.6980887,-2.7272189
50.6980861,-2.7272827
50.6981130,-2.7274276
50.6981077,-2.7274516
50.6981507,-2.7275303
50.6981877,-2.7276402
50.6982040,-2.7279305
50.6983248,-2.7286180
50.6983891,-2.7288554
50.6984626,-2.7290577
50.6986112,-2.7295957
50.6986825,-2.7297341
50.6987060,-2.7297473
50.6987362,-2.7297999
50.6987614,-2.7299613
50.6989014,-2.7302369
50.6989561,-2.7304109
50.6990926,-2.7307283
50.6991531,-2.7309092
50.6992464,-2.7311295
50.6994014,-2.7315916
50.6994694,-2.7317659
50.6995307,-2.7318687
50.6995528,-2.7319376
50.6995569,-2.7320186
50.6996312,-2.7322133
50.6997439,-2.7324583
50.6998335,-2.7325983
50.6999004,-2.7328123
50.7000670,-2.7332334
50.7000736,-2.7332781
50.7001520,-2.7334345
50.7001994,-2.7335958
50.7003224,-2.7338437
50.7003752,-2.7340050
50.7004596,-2.7341384
50.7004526,-2.7341328
