date,time,lat,lon,ele
2022-03-24,11:37:13.000,50.5943921,-2.0376408,80
2022-03-24,11:37:18.000,50.5943333,-2.0376466,79
2022-03-24,11:37:23.000,50.5942773,-2.0376498,79
2022-03-24,11:37:28.000,50.5942056,-2.0376484,78
2022-03-24,11:37:33.000,50.5941355,-2.0376444,77
2022-03-24,11:37:38.000,50.5940871,-2.0376517,76
2022-03-24,11:37:43.000,50.5940332,-2.0376584,75
2022-03-24,11:37:48.000,50.5939787,-2.0376604,74
2022-03-24,11:37:53.000,50.5939327,-2.0376545,73
2022-03-24,11:37:58.000,50.5938754,-2.0376683,72
2022-03-24,11:38:03.000,50.5938170,-2.0376705,71
2022-03-24,11:38:08.000,50.5937668,-2.0376546,70
2022-03-24,11:38:13.000,50.5937165,-2.0376576,69
2022-03-24,11:38:18.000,50.5936560,-2.0376685,69
2022-03-24,11:38:23.000,50.5935906,-2.0376801,68
2022-03-24,11:38:28.000,50.5935305,-2.0377057,67
2022-03-24,11:38:33.000,50.5934734,-2.0377050,66
2022-03-24,11:38:38.000,50.5934169,-2.0376826,65
2022-03-24,11:38:43.000,50.5933632,-2.0376865,64
2022-03-24,11:38:48.000,50.5932924,-2.0376894,64
2022-03-24,11:38:53.000,50.5932279,-2.0376914,63
2022-03-24,11:38:58.000,50.5931701,-2.0376903,62
2022-03-24,11:39:03.000,50.5931066,-2.0376871,61
2022-03-24,11:39:08.000,50.5930418,-2.0376857,61
2022-03-24,11:39:13.000,50.5929880,-2.0376788,60
2022-03-24,11:39:18.000,50.5929235,-2.0376768,60
2022-03-24,11:39:23.000,50.5928535,-2.0376691,59
2022-03-24,11:39:42.000,50.5928052,-2.0376642,58
2022-03-24,11:39:47.000,50.5927602,-2.0376724,58
2022-03-24,11:39:52.000,50.5927155,-2.0376957,58
2022-03-24,11:40:06.000,50.5926774,-2.0377315,57
2022-03-24,11:40:11.000,50.5926444,-2.0377447,57
2022-03-24,11:40:16.000,50.5925976,-2.0377625,56
2022-03-24,11:40:21.000,50.5925374,-2.0377645,56
2022-03-24,11:40:26.000,50.5924854,-2.0377677,56
2022-03-24,11:40:31.000,50.5924291,-2.0377682,55
2022-03-24,11:40:36.000,50.5923616,-2.0377590,55
2022-03-24,11:40:41.000,50.5922957,-2.0377580,55
2022-03-24,11:40:46.000,50.5922312,-2.0377614,54
2022-03-24,11:40:51.000,50.5921657,-2.0377585,54
2022-03-24,11:40:56.000,50.5921045,-2.0377634,53
2022-03-24,11:41:01.000,50.5920419,-2.0377654,53
2022-03-24,11:41:06.000,50.5919753,-2.0377674,53
2022-03-24,11:41:11.000,50.5919122,-2.0377622,52
2022-03-24,11:41:16.000,50.5918431,-2.0377780,52
2022-03-24,11:41:21.000,50.5917803,-2.0377957,52
2022-03-24,11:41:26.000,50.5917123,-2.0378056,52
2022-03-24,11:41:31.000,50.5916566,-2.0378231,51
2022-03-24,11:41:36.000,50.5915876,-2.0378303,51
2022-03-24,11:41:41.000,50.5915410,-2.0378379,51
2022-03-24,11:41:46.000,50.5915262,-2.0378426,51
2022-03-24,11:41:51.000,50.5914888,-2.0378472,50
2022-03-24,11:41:56.000,50.5914319,-2.0378403,50
2022-03-24,11:42:01.000,50.5913726,-2.0378437,50
2022-03-24,11:42:06.000,50.5913162,-2.0378571,49
2022-03-24,11:42:11.000,50.5912545,-2.0378742,49
2022-03-24,11:42:16.000,50.5912006,-2.0378959,49
2022-03-24,11:42:21.000,50.5911447,-2.0379014,49
2022-03-24,11:42:26.000,50.5910918,-2.0379031,48
2022-03-24,11:42:31.000,50.5910497,-2.0378798,48
2022-03-24,11:42:36.000,50.5910067,-2.0378255,48
2022-03-24,11:42:41.000,50.5909607,-2.0377783,47
2022-03-24,11:42:46.000,50.5909055,-2.0377504,47
2022-03-24,11:42:51.000,50.5908478,-2.0377341,47
2022-03-24,11:42:56.000,50.5907786,-2.0377142,46
2022-03-24,11:43:01.000,50.5907120,-2.0377070,46
2022-03-24,11:43:06.000,50.5906458,-2.0377081,46
2022-03-24,11:43:11.000,50.5905908,-2.0376975,46
2022-03-24,11:43:16.000,50.5905260,-2.0376864,45
2022-03-24,11:43:21.000,50.5904624,-2.0376817,45
2022-03-24,11:43:26.000,50.5903995,-2.0376761,45
2022-03-24,11:43:31.000,50.5903391,-2.0376603,45
2022-03-24,11:43:57.000,50.5902846,-2.0376389,44
2022-03-24,11:44:02.000,50.5902359,-2.0376293,44
2022-03-24,11:44:07.000,50.5901824,-2.0376216,44
2022-03-24,11:44:12.000,50.5901321,-2.0375975,44
